gaming_time_hr,social_media_time_hr,sleep_hours,daily_unlocks,notifications_per_day,addiction_level
6.64,9.16,4.93,275,193,High
4.83,7.87,4.22,294,164,High
1.42,6.99,6.45,223,121,Medium
3.43,5.79,5.98,245,155,Medium
2.04,3.64,6.26,148,113,Low
0.41,9.36,6.89,193,144,Medium
3.92,5.94,4.69,268,135,High
1.47,1.15,7.51,88,70,Low
4.3,1.37,6.58,185,78,Low
1.75,7.65,7.05,121,137,Medium
6.59,9.82,7.14,328,159,High
4.91,6.4,6.74,293,143,High
2.57,9.2,6.94,246,157,High
7.29,8.31,5.2,275,211,High
3.56,0.92,7.18,135,30,Low
1.34,9.58,5.65,240,171,High
0.52,6.87,6.62,131,126,Low
4.3,7.18,6.11,303,152,High
5.17,9.43,5.53,281,171,High
0.7,1.02,7.1,116,41,Low
4.6,2.66,6.21,218,90,Low
0.14,6.9,5.36,143,127,Low
4.95,7.68,4.14,245,208,High
0.85,7.98,7.33,208,158,Medium
6.12,4.66,4.53,268,112,High
1.09,4.21,6.71,170,81,Low
7.68,1.87,4.87,163,119,Medium
2.99,9.52,3.89,231,170,High
0.99,0.55,5.62,81,77,Low
5.99,9.08,5.16,288,206,High
5.17,5.37,6.4,256,146,Medium
1.45,8.1,5.37,258,123,Medium
7.46,9.95,3.79,350,204,High
0.79,7.39,6.62,175,144,Medium
1.03,6.73,7.57,220,150,Low
3.61,6.36,5.39,215,169,Medium
4.52,3.96,5.64,236,135,Medium
1.77,7.53,6.1,166,164,Medium
1.07,7.46,7.11,184,134,Medium
4.41,2.17,7.14,133,74,Low
6.87,1.83,5.22,204,112,Medium
0.6,0.68,6.56,91,60,Low
4.66,4.35,3.89,180,101,Medium
7.99,4.98,5.22,279,130,High
1.79,7.84,5.93,199,129,Medium
3.17,5.27,6.47,176,95,Medium
6.45,6.33,6.45,302,146,High
7.59,6.76,5.81,343,162,High
3.87,3.91,6.49,230,133,Medium
0.34,2.46,7.16,145,70,Low
3.76,4.82,9.37,232,112,Low
4.17,8.38,7.42,280,157,High
4.35,2.15,5.7,153,75,Low
4.13,4.08,4.31,233,106,Medium
2.82,8.74,4.47,256,150,High
1.11,2.07,5.82,165,93,Low
1.69,2.28,5.37,175,96,Low
6.49,7.34,6.2,253,173,High
1.69,2.03,6.76,130,107,Low
1.29,6.48,6.64,234,140,Medium
0.45,2.95,7.95,199,66,Low
0.15,7.34,5.35,179,124,Medium
0.69,4.77,8.86,159,128,Low
4.81,8.05,7.7,281,159,High
5.28,3.01,5.99,177,86,Medium
1.84,4.16,6.86,185,117,Low
6.88,5.29,5.18,270,166,High
4.92,0.87,7.2,174,61,Low
0.94,5.08,7.51,200,135,Low
6.2,6.67,3.45,244,158,High
0.35,5.53,6.69,221,122,Low
4.71,7.54,4.64,267,133,High
0.78,1.77,5.88,121,85,Low
7.01,4.38,5.1,268,166,High
6.32,5.99,5.88,267,136,High
2.53,3.94,4.84,201,133,Low
2.03,8.62,4.92,252,158,High
6.04,4.43,7.74,244,110,Medium
2.96,5.77,6.1,236,116,Medium
5.89,8.62,7.11,270,154,High
3.57,7.14,6.37,258,138,Medium
4.4,7.12,6.49,248,146,High
7.72,0.55,6.74,213,114,Low
0.51,2.61,6.11,134,86,Low
3.07,9.85,4.61,249,177,High
7.57,8.29,3.84,297,170,High
1.61,6.74,6.49,182,165,Medium
4.13,2.7,6.66,186,107,Low
1.91,0.5,8.99,201,69,Low
3.16,6.07,4.98,169,135,Medium
0.55,1.36,6.32,163,84,Low
7.71,3.13,5.35,227,117,Medium
7.44,5.96,5.57,311,164,High
2.35,9.5,6.1,282,128,High
7.01,8.22,3.83,287,208,High
6.16,7.7,5.29,320,167,High
3.69,6.07,6.61,228,167,Medium
7.95,6.93,6.21,306,190,High
7.64,5.41,7.96,279,153,High
5.39,8.3,6.16,347,197,High
3.81,3.86,6.98,180,144,Low
7.28,5.24,5.15,283,180,High
6.98,2.46,6.32,243,105,Medium
0.85,9.24,5.52,211,138,Medium
4.91,7.76,5.39,267,139,High
3.94,9.86,5.81,335,163,High
3.93,9.85,6.46,274,192,High
0.43,8.09,7.7,170,152,Medium
4.02,4.24,5.88,186,151,Medium
3.68,7.05,5.65,261,154,High
4.65,3.59,5.47,188,102,Medium
3.77,6.32,5.73,207,162,Medium
1.68,7.16,4.48,254,141,Medium
1.05,5.97,7.04,187,135,Low
2.16,2.74,5.44,165,124,Low
1.2,8.15,8.47,235,174,Medium
7.96,8.57,3.44,322,196,High
4.5,5.89,4.97,198,161,Medium
0.48,8.23,4.46,216,133,Medium
2.89,5.82,6.46,231,127,Medium
0.16,1.65,8.89,50,78,Low
5.19,2.16,7.76,195,83,Low
5.39,5.13,5.73,175,126,Medium
5.05,1.88,6.98,210,129,Low
2.7,6.5,3.98,192,152,Medium
1.83,3.51,6.78,154,116,Low
5.16,3.08,3.93,223,95,Medium
7.72,4.43,6.99,264,145,High
5.82,6.79,7.47,252,171,High
0.82,1.11,7.16,136,50,Low
0.21,4.27,6.6,134,101,Low
5.24,8.91,6.28,284,197,High
2.27,6.45,7.68,252,167,Medium
6.88,3.59,6.27,156,135,Medium
4.32,3.09,3.28,218,104,Medium
4.78,6.49,5.16,223,132,High
4.19,6.58,5.52,267,114,High
3.53,3.97,5.72,190,132,Medium
0.0,8.25,6.81,181,146,Medium
7.38,9.5,5.34,329,201,High
3.44,3.28,6.35,184,92,Low
4.48,4.25,7.01,236,151,Medium
3.12,4.09,6.18,219,116,Low
7.28,8.17,7.49,301,169,High
5.94,8.18,3.58,322,184,High
5.1,6.37,6.76,246,179,High
1.5,0.68,8.2,124,69,Low
2.15,7.29,6.57,218,133,Medium
1.21,5.19,5.79,197,139,Low
3.71,8.02,2,228,198,High
7.61,1.03,6.21,198,87,Medium
6.73,8.26,5.65,312,173,High
6.15,2.87,6.27,183,114,Medium
3.69,7.82,5.54,168,154,High
3.78,6.97,5.52,265,148,High
7.5,5.45,5.45,273,181,High
1.59,8.93,6.5,221,186,Medium
2.6,2.09,7.64,147,98,Low
6.31,0.58,8.34,197,61,Low
2.97,1.35,6.82,151,88,Low
4.95,9.34,7.25,293,213,High
5.61,8.02,6.27,299,184,High
7.85,7.99,5.51,263,172,High
5.51,3.9,6.35,263,156,Medium
3.88,4.66,5.63,252,130,Medium
2.78,7.46,6.69,224,190,Medium
7.32,5.77,6.32,283,151,High
2.94,0.51,7.55,112,55,Low
1.48,0.68,8.08,71,67,Low
5.27,5.62,7.82,215,159,Medium
3.98,5.74,5.22,208,132,Medium
4.19,1.13,6.02,167,75,Low
6.99,2.42,5.51,222,79,Medium
5.26,5.5,4.94,234,127,High
2.93,6.26,8.58,247,145,Medium
7.12,1.26,7.51,209,94,Low
4.46,9.41,4.62,302,175,High
2.13,0.89,4.54,148,78,Low
7.56,9.63,6.86,365,190,High
4.21,2.86,6.14,172,96,Low
5.99,4.44,7.31,262,119,Medium
5.32,8.89,6.61,302,194,High
3.21,3.71,8.66,274,93,Low
2.52,9.92,6.15,253,198,High
6.11,4.59,5.68,199,122,Medium
6.13,9.3,5.14,309,243,High
3.58,4.27,5.71,113,99,Low
7.95,3.37,5.05,243,143,High
6.85,0.71,7.05,152,88,Low
4.45,9.3,7.13,290,188,High
2.85,1.81,5.47,179,89,Low
0.74,4.3,8.67,198,89,Low
5.79,8.03,6.66,336,165,High
7.26,6.15,4.2,266,190,High
4.61,1.25,8.35,185,66,Low
3.33,8.74,7.6,275,161,High
5.22,6.22,7.93,255,138,Medium
0.33,5.63,7.09,190,138,Low
1.77,0.98,6.59,91,45,Low
4.04,2.61,6.88,172,120,Low
1.06,1.28,6.42,110,63,Low
4.01,7.85,6.11,268,172,High
4.47,5.13,5.58,207,109,Medium
1.97,1.18,5.38,131,56,Low
7.39,1.35,5.53,183,92,Medium
4.75,0.73,7.31,132,138,Low
4.93,9.91,4.89,308,229,High
1.6,4.05,7.05,167,67,Low
0.9,1.02,9.41,87,91,Low
0.11,7.09,4.65,213,149,Medium
0.18,2.49,5.95,115,65,Low
3.86,7.43,5.74,278,182,High
0.15,6.04,6.2,165,131,Low
6.31,6.37,6.59,311,167,High
0.07,4.19,6.26,202,79,Low
0.15,8.74,4.09,200,143,Medium
3.05,9.78,6.56,287,199,High
1.49,5.26,5.23,115,132,Low
0.17,2.85,5.64,120,75,Low
2.77,3.84,6.77,163,99,Low
7.83,5.26,6.33,237,182,High
6.52,0.78,4.53,166,86,Low
1.21,9.02,5.69,222,126,Medium
4.9,6.44,7.92,253,166,Medium
1.22,9.72,6.81,229,159,High
1.11,5.64,6.11,199,85,Low
2.47,7.2,5.39,222,203,Medium
1.16,9.36,5.86,260,159,High
4.46,9.51,6.37,307,209,High
6.12,8.86,4.17,278,197,High
3.54,9.37,7.91,230,174,High
0.85,2.26,8.75,129,53,Low
2.13,5.89,6.3,221,124,Medium
5.51,5.03,4.9,197,137,Medium
5.7,4.05,6.86,198,135,Medium
0.26,7.76,6.8,223,145,Medium
3.3,7.55,7.93,239,198,Medium
7.89,8.74,6.45,302,195,High
3.66,2.84,6.06,182,100,Low
2.5,6.31,4.95,210,111,Medium
4.2,8.82,6.03,239,141,High
0.34,9.96,6.64,204,168,Medium
5.88,5.8,4.15,250,164,High
3.18,3.39,6.65,194,86,Low
3.38,6.32,7.39,237,166,Medium
3.61,7.37,7.66,284,179,Medium
7.5,7.11,6.36,322,160,High
4.72,7.27,6.03,269,181,High
2.0,7.07,7.88,186,142,Medium
0.91,4.77,5.83,141,130,Low
3.07,8.02,2.96,240,147,High
6.15,9.17,6.28,269,179,High
1.2,8.75,6.82,271,145,Medium
6.15,4.74,6.41,232,130,Medium
1.05,2.43,5.99,116,46,Low
4.35,0.55,7.12,169,68,Low
4.71,5.02,5.61,232,121,Medium
4.38,6.39,5.39,189,135,Medium
0.39,1.91,6.58,107,92,Low
6.7,3.34,4.58,238,120,Medium
3.34,2.19,5.67,126,83,Low
6.3,2.19,4.65,169,115,Medium
7.45,1.38,5.77,239,98,Medium
3.42,5.73,6.39,212,146,Medium
5.56,3.11,4.69,203,105,Medium
0.87,7.43,4.61,143,100,Medium
3.87,7.04,9.12,208,147,Medium
2.53,5.49,7.8,228,127,Low
